inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
1,Aguascalientes,1001,Aguascalientes,0,Total de delitos,2474,244.62449645996094,2024-08
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.39551250636577606,2024-08
1,Aguascalientes,1001,Aguascalientes,1120,Feminicidio,1,0.1939442902803421,2024-08
1,Aguascalientes,1001,Aguascalientes,1200,Homicidio culposo,1,0.09887813031673431,2024-08
1,Aguascalientes,1001,Aguascalientes,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1001,Aguascalientes,3000,Extorsión,4,0.39551252126693726,2024-08
1,Aguascalientes,1001,Aguascalientes,4001,Robo con violencia,71,7.0203471183776855,2024-08
1,Aguascalientes,1001,Aguascalientes,4100,Robo de vehículo,90,8.899031639099121,2024-08
1,Aguascalientes,1001,Aguascalientes,4200,Robo a casa habitación,118,11.667618751525879,2024-08
1,Aguascalientes,1001,Aguascalientes,4300,Robo a negocio,94,9.294544219970703,2024-08
1,Aguascalientes,1001,Aguascalientes,4400,Robo a transeúnte total,114,11.272106647491455,2024-08
1,Aguascalientes,1001,Aguascalientes,4940,Robo en transporte público,10,0.9887813031673431,2024-08
1,Aguascalientes,1001,Aguascalientes,5000,Violación,26,2.5708313584327698,2024-08
1,Aguascalientes,1001,Aguascalientes,6000,Violencia familiar,226,22.34645652770996,2024-08
1,Aguascalientes,1001,Aguascalientes,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1001,Aguascalientes,8000,Narcomenudeo,120,11.865375518798828,2024-08
1,Aguascalientes,1001,Aguascalientes,9000,Lesiones dolosas,173,17.10591697692871,2024-08
1,Aguascalientes,1002,Asientos,0,Total de delitos,52,98.10025024414062,2024-08
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,4,7.546173095703125,2024-08
1,Aguascalientes,1002,Asientos,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1002,Asientos,1200,Homicidio culposo,1,1.8865432739257812,2024-08
1,Aguascalientes,1002,Asientos,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1002,Asientos,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1002,Asientos,4001,Robo con violencia,2,3.7730865478515625,2024-08
1,Aguascalientes,1002,Asientos,4100,Robo de vehículo,2,3.7730865478515625,2024-08
1,Aguascalientes,1002,Asientos,4200,Robo a casa habitación,0,0,2024-08
1,Aguascalientes,1002,Asientos,4300,Robo a negocio,0,0,2024-08
1,Aguascalientes,1002,Asientos,4400,Robo a transeúnte total,1,1.8865432739257812,2024-08
1,Aguascalientes,1002,Asientos,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1002,Asientos,5000,Violación,2,3.7730865478515625,2024-08
1,Aguascalientes,1002,Asientos,6000,Violencia familiar,6,11.319259643554688,2024-08
1,Aguascalientes,1002,Asientos,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1002,Asientos,8000,Narcomenudeo,3,5.659629821777344,2024-08
1,Aguascalientes,1002,Asientos,9000,Lesiones dolosas,4,7.546173095703125,2024-08
1,Aguascalientes,1003,Calvillo,0,Total de delitos,69,108.41726684570312,2024-08
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1003,Calvillo,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1003,Calvillo,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1003,Calvillo,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1003,Calvillo,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1003,Calvillo,4001,Robo con violencia,0,0,2024-08
1,Aguascalientes,1003,Calvillo,4100,Robo de vehículo,0,0,2024-08
1,Aguascalientes,1003,Calvillo,4200,Robo a casa habitación,4,6.285058975219727,2024-08
1,Aguascalientes,1003,Calvillo,4300,Robo a negocio,1,1.5712647438049316,2024-08
1,Aguascalientes,1003,Calvillo,4400,Robo a transeúnte total,1,1.5712647438049316,2024-08
1,Aguascalientes,1003,Calvillo,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1003,Calvillo,5000,Violación,0,0,2024-08
1,Aguascalientes,1003,Calvillo,6000,Violencia familiar,2,3.1425294876098633,2024-08
1,Aguascalientes,1003,Calvillo,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1003,Calvillo,8000,Narcomenudeo,6,9.42758846282959,2024-08
1,Aguascalientes,1003,Calvillo,9000,Lesiones dolosas,6,9.42758846282959,2024-08
1,Aguascalientes,1004,Cosio,0,Total de delitos,37,210.37071228027344,2024-08
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1004,Cosio,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1004,Cosio,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1004,Cosio,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1004,Cosio,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1004,Cosio,4001,Robo con violencia,2,11.371389389038086,2024-08
1,Aguascalientes,1004,Cosio,4100,Robo de vehículo,3,17.057085037231445,2024-08
1,Aguascalientes,1004,Cosio,4200,Robo a casa habitación,4,22.742778778076172,2024-08
1,Aguascalientes,1004,Cosio,4300,Robo a negocio,1,5.685694694519043,2024-08
1,Aguascalientes,1004,Cosio,4400,Robo a transeúnte total,0,0,2024-08
1,Aguascalientes,1004,Cosio,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1004,Cosio,5000,Violación,0,0,2024-08
1,Aguascalientes,1004,Cosio,6000,Violencia familiar,2,11.371389389038086,2024-08
1,Aguascalientes,1004,Cosio,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1004,Cosio,8000,Narcomenudeo,2,11.371389389038086,2024-08
1,Aguascalientes,1004,Cosio,9000,Lesiones dolosas,4,22.742778778076172,2024-08
1,Aguascalientes,1005,Jesus Maria,0,Total de delitos,359,260.95806884765625,2024-08
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1005,Jesus Maria,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1005,Jesus Maria,1200,Homicidio culposo,1,0.7269026637077332,2024-08
1,Aguascalientes,1005,Jesus Maria,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1005,Jesus Maria,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1005,Jesus Maria,4001,Robo con violencia,26,18.89946937561035,2024-08
1,Aguascalientes,1005,Jesus Maria,4100,Robo de vehículo,17,12.357345581054688,2024-08
1,Aguascalientes,1005,Jesus Maria,4200,Robo a casa habitación,15,10.903539657592773,2024-08
1,Aguascalientes,1005,Jesus Maria,4300,Robo a negocio,27,19.626371383666992,2024-08
1,Aguascalientes,1005,Jesus Maria,4400,Robo a transeúnte total,21,15.264955580234528,2024-08
1,Aguascalientes,1005,Jesus Maria,4940,Robo en transporte público,7,5.0883185267448425,2024-08
1,Aguascalientes,1005,Jesus Maria,5000,Violación,3,2.1807079315185547,2024-08
1,Aguascalientes,1005,Jesus Maria,6000,Violencia familiar,26,18.89946937561035,2024-08
1,Aguascalientes,1005,Jesus Maria,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1005,Jesus Maria,8000,Narcomenudeo,37,26.89539909362793,2024-08
1,Aguascalientes,1005,Jesus Maria,9000,Lesiones dolosas,28,20.353275299072266,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,0,Total de delitos,121,232.04525756835938,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4001,Robo con violencia,9,17.259565353393555,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4100,Robo de vehículo,5,9.58864688873291,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4200,Robo a casa habitación,6,11.506376266479492,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4300,Robo a negocio,5,9.58864688873291,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4400,Robo a transeúnte total,10,19.17729377746582,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,5000,Violación,1,1.917729377746582,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,6000,Violencia familiar,15,28.765941619873047,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,8000,Narcomenudeo,6,11.506376266479492,2024-08
1,Aguascalientes,1006,Pabellon De Arteaga,9000,Lesiones dolosas,5,9.58864688873291,2024-08
1,Aguascalientes,1007,Rincon De Romos,0,Total de delitos,109,180.3292236328125,2024-08
1,Aguascalientes,1007,Rincon De Romos,1100,Homicidio doloso,1,1.6543965339660645,2024-08
1,Aguascalientes,1007,Rincon De Romos,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,4001,Robo con violencia,2,3.308793067932129,2024-08
1,Aguascalientes,1007,Rincon De Romos,4100,Robo de vehículo,9,14.889569282531738,2024-08
1,Aguascalientes,1007,Rincon De Romos,4200,Robo a casa habitación,3,4.963189601898193,2024-08
1,Aguascalientes,1007,Rincon De Romos,4300,Robo a negocio,4,6.617586135864258,2024-08
1,Aguascalientes,1007,Rincon De Romos,4400,Robo a transeúnte total,6,9.926379203796387,2024-08
1,Aguascalientes,1007,Rincon De Romos,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,5000,Violación,6,9.926379203796387,2024-08
1,Aguascalientes,1007,Rincon De Romos,6000,Violencia familiar,6,9.926379203796387,2024-08
1,Aguascalientes,1007,Rincon De Romos,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1007,Rincon De Romos,8000,Narcomenudeo,3,4.963189601898193,2024-08
1,Aguascalientes,1007,Rincon De Romos,9000,Lesiones dolosas,12,19.852758407592773,2024-08
1,Aguascalientes,1008,San Jose De Gracia,0,Total de delitos,22,217.3698272705078,2024-08
1,Aguascalientes,1008,San Jose De Gracia,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4001,Robo con violencia,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4100,Robo de vehículo,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4200,Robo a casa habitación,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4300,Robo a negocio,2,19.760892868041992,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4400,Robo a transeúnte total,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,5000,Violación,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,6000,Violencia familiar,1,9.880446434020996,2024-08
1,Aguascalientes,1008,San Jose De Gracia,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,8000,Narcomenudeo,0,0,2024-08
1,Aguascalientes,1008,San Jose De Gracia,9000,Lesiones dolosas,2,19.760892868041992,2024-08
1,Aguascalientes,1009,Tepezala,0,Total de delitos,25,104.74713897705078,2024-08
1,Aguascalientes,1009,Tepezala,1100,Homicidio doloso,1,4.18988561630249,2024-08
1,Aguascalientes,1009,Tepezala,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1009,Tepezala,1200,Homicidio culposo,1,4.18988561630249,2024-08
1,Aguascalientes,1009,Tepezala,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1009,Tepezala,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1009,Tepezala,4001,Robo con violencia,3,12.569656372070312,2024-08
1,Aguascalientes,1009,Tepezala,4100,Robo de vehículo,2,8.37977123260498,2024-08
1,Aguascalientes,1009,Tepezala,4200,Robo a casa habitación,2,8.37977123260498,2024-08
1,Aguascalientes,1009,Tepezala,4300,Robo a negocio,0,0,2024-08
1,Aguascalientes,1009,Tepezala,4400,Robo a transeúnte total,3,12.56965684890747,2024-08
1,Aguascalientes,1009,Tepezala,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1009,Tepezala,5000,Violación,0,0,2024-08
1,Aguascalientes,1009,Tepezala,6000,Violencia familiar,1,4.18988561630249,2024-08
1,Aguascalientes,1009,Tepezala,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1009,Tepezala,8000,Narcomenudeo,1,4.18988561630249,2024-08
1,Aguascalientes,1009,Tepezala,9000,Lesiones dolosas,1,4.18988561630249,2024-08
1,Aguascalientes,1010,El Llano,0,Total de delitos,39,170.16448974609375,2024-08
1,Aguascalientes,1010,El Llano,1100,Homicidio doloso,0,0,2024-08
1,Aguascalientes,1010,El Llano,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1010,El Llano,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1010,El Llano,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1010,El Llano,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1010,El Llano,4001,Robo con violencia,2,8.726384162902832,2024-08
1,Aguascalientes,1010,El Llano,4100,Robo de vehículo,4,17.452768325805664,2024-08
1,Aguascalientes,1010,El Llano,4200,Robo a casa habitación,3,13.089576721191406,2024-08
1,Aguascalientes,1010,El Llano,4300,Robo a negocio,1,4.363192081451416,2024-08
1,Aguascalientes,1010,El Llano,4400,Robo a transeúnte total,0,0,2024-08
1,Aguascalientes,1010,El Llano,4940,Robo en transporte público,0,0,2024-08
1,Aguascalientes,1010,El Llano,5000,Violación,0,0,2024-08
1,Aguascalientes,1010,El Llano,6000,Violencia familiar,3,13.089576721191406,2024-08
1,Aguascalientes,1010,El Llano,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1010,El Llano,8000,Narcomenudeo,2,8.726384162902832,2024-08
1,Aguascalientes,1010,El Llano,9000,Lesiones dolosas,6,26.179153442382812,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,0,Total de delitos,134,244.42295837402344,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,1100,Homicidio doloso,2,3.648103952407837,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,1120,Feminicidio,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,1200,Homicidio culposo,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,2000,Secuestro,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,3000,Extorsión,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4001,Robo con violencia,4,7.296207904815674,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4100,Robo de vehículo,4,7.296207904815674,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4200,Robo a casa habitación,5,9.120259284973145,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4300,Robo a negocio,11,20.064571380615234,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4400,Robo a transeúnte total,3,5.472155928611755,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4940,Robo en transporte público,1,1.8240519762039185,2024-08
