Gravedad,Modalidad,Motivación,Área Geográfica,Crímenes Graves,Crímenes Menores,Crímenes Violentos,Crímenes No Violentos,Crímenes Motivación Económica,Crímenes de Odio,Crímenes de Pasión/Venganza,Crímenes Urbanos,Crímenes Rurales,Naturaleza,Temporalidad,Involucramiento Tecnológico,Estado del Caso,Crímenes contra Personas,Crímenes contra Propiedad,Crímenes Sexuales,Crímenes Económicos,Crímenes Periodo Anual,Crímenes Hora Día,Cibercrímenes,Crímenes Tradicionales,Casos Resueltos,Casos no resueltos
Media,Asalto con violencia,Rescate,Veracruz,8269,1983,Violación,Estafa,Fraude bancario,Xenofobia,Despecho,Robo,Caza ilegal,Criminal,2024-08-14,Bajo,Resuelto,65,33,6,30,721,24,1,0,88,36
Alta,Fraude bancario,Económica,Mérida,9776,1806,Extorsión,Hurto,Fraude bancario,Xenofobia,Celos,Vandalismo,Tráfico de especies,Criminal,2024-07-12,Alto,No resuelto,91,58,53,63,598,9,1,0,62,64
Baja,Acoso verbal,Rescate,Querétaro,7390,4485,Homicidio,Estafa,Contrabando,Xenofobia,Rencor,Vandalismo,Robo de ganado,Criminal,2023-10-15,Ninguno,No resuelto,74,34,42,35,153,3,0,1,58,11
Media,Hurto,Financiera,Guadalajara,7055,4041,Asalto,Robo menor,Lavado de dinero,Racismo,Rencor,Asalto,Robo de ganado,Criminal,2024-06-21,Alto,No resuelto,24,19,55,87,412,14,0,0,90,37
Alta,Asalto con violencia,Protesta,Querétaro,8920,8227,Homicidio,Hurto,Fraude bancario,Homofobia,Rencor,Robo,Tráfico de especies,Criminal,2024-08-02,Bajo,No resuelto,97,59,44,88,703,0,0,0,78,41
Alta,Tráfico de drogas,Criminal,Veracruz,6198,5458,Violación,Robo menor,Lavado de dinero,Homofobia,Despecho,Asalto,Robo de ganado,Financiera,2024-07-01,Ninguno,Resuelto,51,94,35,18,719,23,1,1,80,50
Alta,Violencia doméstica,Criminal,La Paz,2529,1016,Homicidio,Robo menor,Contrabando,Racismo,Rencor,Vandalismo,Caza ilegal,Financiera,2024-08-08,Alto,No resuelto,30,15,8,13,553,5,0,0,5,77
Media,Daños a la propiedad,Personal,Tijuana,5908,9326,Extorsión,Estafa,Fraude bancario,Homofobia,Celos,Asalto,Robo de ganado,Oportunidad,2024-03-05,Alto,No resuelto,19,95,49,24,372,16,1,0,0,77
Alta,Secuestro,Rencor,Durango,738,4095,Extorsión,Robo menor,Contrabando,Racismo,Rencor,Asalto,Robo de ganado,Financiera,2024-02-09,Bajo,No resuelto,89,20,22,79,644,6,1,0,42,45
Alta,Violencia doméstica,Oportunidad,Aguascalientes,1431,5203,Violación,Estafa,Contrabando,Racismo,Despecho,Asalto,Caza ilegal,Criminal,2024-07-30,Alto,Resuelto,20,1,14,86,940,9,1,0,80,8
